"","cropID","sci_name","Agr_Ecol_Opt_Soildp_Medium","Agr_Ecol_Silt_Max","Agr_Ecol_Silt_Min","Agr_Ecol_Sand_Max","Agr_Ecol_Sand_Min","Agr_Ecol_Clay_Max","Agr_Ecol_Clay_Min","Agr_Ecol_Opt_Temp_Min","Agr_Ecol_Opt_Temp_Max","Agr_Ecol_Abs_Temp_Min","Agr_Ecol_Abs_Temp_Max","Agr_Ecol_Opt_Rain_Min","Agr_Ecol_Opt_Rain_Max","Agr_Ecol_Abst_Rain_Min","Agr_Ecol_Abs_Rain_Max","Ecocrop_Crop_Cycle_Min","Ecocrop_Crop_Cycle_Max"
"869","10001000083","Alpinia galanga","medium (50-150 cm)","50","0","70","50","20","0",27,32,20,36,2500,3000,2000,3700,90,365
"926","10001000073","Archidendron jiringa","deep (>>150 cm)","20","0","100","45","55","0",20,30,12,40,2000,3000,1000,4000,365,365
"955","10001000059","Artocarpus altilis","deep (>>150 cm)","50","0","100","23","35","0",21,33,16,40,1500,3000,1000,3500,300,365
"958","10001000063","Artocarpus integer","deep (>>150 cm)","50","0","70","50","20","0",22,38,16,47,2200,3500,1250,4500,365,365
"1009","10001000086","Baccaurea motleyana","deep (>>150 cm)","40","0","100","0","100","0",24,28,18,34,1500,3500,1000,4000,365,365
"1023","10001000116","Allium cepa","medium (50-150 cm)","88","0","70","20","27","0",12,25,4,30,350,600,300,2800,85,175
"1038","10001000006","Bertholletia excelsa","deep (>>150 cm)","100","0","80","0","100","0",20,36,12,40,2400,2800,1400,3500,365,365
"1103","10001000109","Ananas comosus","medium (50-150 cm)","50","0","70","50","20","0",21,30,10,36,800,2500,550,3500,330,365
"1127","10001000041","Annona muricata","deep (>>150 cm)","50","0","100","23","27","0",20,30,13,36,1200,2200,800,4200,180,365
"1213","10001000012","Ceratonia siliqua","shallow (20-50 cm)","50","0","70","50","20","0",20,32,10,39,400,1000,200,2000,210,365
"1251","10001000090","Artocarpus heterophyllus","deep (>>150 cm)","50","0","70","50","20","0",20,30,16,34,1500,3000,700,4200,210,365
"1252","10001000098","Citrofortunella x microcarpa","deep (>>150 cm)","52","0","100","20","40","0",15,28,8,38,1500,2000,1200,2500,300,365
"1287","10001000005","Averrhoa bilimbi","deep (>>150 cm)","100","0","100","0","100","0",23,30,10,36,1200,2300,700,4000,140,365
"1292","10001000026","Corchorus capsularis","medium (50-150 cm)","52","0","70","20","40","0",20,37,13,45,1500,3000,900,3600,80,150
"1299","10001000046","Sorghum bicolor","medium (50-150 cm)","100","0","80","0","100","0",22,35,8,40,400,600,300,700,90,300
"1381","10001000131","Benincasa hispida","medium (50-150 cm)","52","0","70","20","40","0",24,30,12,37,400,800,300,2800,80,160
"1425","10001000020","Digitaria exilis","medium (50-150 cm)","30","0","100","70","15","0",22,27,18,31,900,1600,400,2800,90,130
"1430","10001000062","Dimocarpus longan var. malesianus","medium (50-150 cm)","50","0","70","0","100","0",25,30,18,38,3000,4000,2500,4500,365,365
"1447","10001000011","Brassica chinensis","medium (50-150 cm)","50","28","52","23","27","7",12,22,8,34,800,1600,500,2700,40,90
"1468","10001000009","Brassica oleracea var. capitata","shallow (20-50 cm)","100","0","80","0","40","0",15,24,7,32,500,1000,300,2500,60,200
"1487","10001000021","Eleusine coracana ssp. coracana","medium (50-150 cm)","50","0","100","50","20","0",18,30,8,35,500,1100,300,4300,75,180
