",",cropID,",",name,",",sci_name,",",Agr_Ecol_Opt_Soildp_Medium,",",Agr_Ecol_Silt_Max,",",Agr_Ecol_Silt_Min,",",Agr_Ecol_Sand_Max,",",Agr_Ecol_Sand_Min,",",Agr_Ecol_Clay_Max,",",Agr_Ecol_Clay_Min,",",Agr_Ecol_Opt_Temp_Min,",",Agr_Ecol_Opt_Temp_Max,",",Agr_Ecol_Abs_Temp_Min,",",Agr_Ecol_Abs_Temp_Max,",",Agr_Ecol_Opt_Rain_Min,",",Agr_Ecol_Opt_Rain_Max,",",Agr_Ecol_Abst_Rain_Min,",",Agr_Ecol_Abs_Rain_Max,",",Ecocrop_Crop_Cycle_Min,",",Ecocrop_Crop_Cycle_Max
"1809,",10001000110,",",Pomelo,",",Citrus grandis,",",deep (>>150 cm),",",100,",",0,",",100,",",0,",",100,",",0,",23,32,12,40,1500,2500,700,4000,0,0",,,,,,,,,,,,,,,,,,,
"372,",10001000111,",",Rambutan,",",Nephelium lappaceum,",",deep (>>150 cm),",",52,",",0,",",70,",",20,",",40,",",0,",21,35,10,42,2000,3000,1400,4000,170,365",,,,,,,,,,,,,,,,,,,
"590,",10001000112,",",Bayam Merah,",",Amaranthus caudatus,",",medium (50-150 cm),",",100,",",0,",",100,",",0,",",100,",",0,",21,28,7,40,800,2300,250,4200,30,300",,,,,,,,,,,,,,,,,,,
"262,",10001000113,",",Roselle,",",Hibiscus sabdariffa,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",16,32,10,36,1000,3000,500,3500,0,0",,,,,,,,,,,,,,,,,,,
"530,",10001000114,",",Round Eggplant,",",Solanum melongena,",",medium (50-150 cm),",",100,",",0,",",70,",",0,",",27,",",0,",20,35,9,40,1200,1600,800,4000,70,120",,,,,,,,,,,,,,,,,,,
"260,",10001000115,",",Rubber,",",Hevea brasiliensis,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",24,33,10,45,2000,4000,1200,6000,365,365",,,,,,,,,,,,,,,,,,,
"1023,",10001000116,",",Scallion,",",Allium cepa,",",medium (50-150 cm),",",88,",",0,",",70,",",20,",",27,",",0,",12,25,4,30,350,600,300,2800,85,175",,,,,,,,,,,,,,,,,,,
"2273,",10001000117,",",Snake Fruit,",",Salacca zalacca,",",medium (50-150 cm),",",50,",",0,",",100,",",50,",",20,",",0,",22,30,12,36,1700,3100,1400,3500,365,365",,,,,,,,,,,,,,,,,,,
"2296,",10001000119,",",Star Goosebery,",",Sauropus androgynus,",",medium (50-150 cm),",",100,",",0,",",80,",",0,",",100,",",0,",26,35,5,38,900,1200,600,4000,270,365",,,,,,,,,,,,,,,,,,,
"16,",10001000120,",",Stevia,",",Stevia rebaudiana,",",shallow (20-50 cm),",",50,",",0,",",100,",",50,",",20,",",0,",18,30,15,43,1000,1400,500,1800,55,270",,,,,,,,,,,,,,,,,,,
"519,",10001000121,",",Sugarcane,",",Saccharum officinarum,",",deep (>>150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",24,37,15,41,1500,2000,1000,5000,210,365",,,,,,,,,,,,,,,,,,,
"2026,",10001000122,",",Sweet Pumpkin,",",Cucurbita moschata,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",20,30,10,40,600,1600,300,2800,80,140",,,,,,,,,,,,,,,,,,,
"292,",10001000123,",",Sweet Potato,",",Ipomoea batatas,",",medium (50-150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",18,28,10,38,750,2000,350,5000,80,170",,,,,,,,,,,,,,,,,,,
"550,",10001000124,",",Tamarind,",",Tamarindus indica,",",deep (>>150 cm),",",100,",",0,",",100,",",0,",",27,",",0,",20,35,12,45,800,3000,300,4500,70,210",,,,,,,,,,,,,,,,,,,
"379,",10001000125,",",Basil,",",Ocimum basilicum,",",shallow (20-50 cm),",",88,",",0,",",70,",",20,",",27,",",0,",18,27,7,36,1000,1600,600,4300,80,270",,,,,,,,,,,,,,,,,,,
"2035,",10001000127,",",Turmeric,",",Curcuma longa,",",medium (50-150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",20,28,18,32,1000,2000,800,3000,270,300",,,,,,,,,,,,,,,,,,,
"610,",10001000129,",",Water Apple,",",Syzygium javanicum,",",medium (50-150 cm),",",100,",",0,",",80,",",0,",",100,",",0,",23,28,16,33,1500,2300,1200,3000,270,365",,,,,,,,,,,,,,,,,,,
"1800,",10001000130,",",Watermelon,",",Citrullus lanatus,",",deep (>>150 cm),",",100,",",0,",",100,",",0,",",40,",",0,",20,35,15,40,500,700,400,1800,0,0",,,,,,,,,,,,,,,,,,,
"1381,",10001000131,",",Winter Melon,",",Benincasa hispida,",",medium (50-150 cm),",",52,",",0,",",70,",",20,",",40,",",0,",24,30,12,37,400,800,300,2800,80,160",,,,,,,,,,,,,,,,,,,
"582,",10001000139,",",Black Gram,",",Vigna mungo,",",deep (>>150 cm),",",100,",",0,",",70,",",0,",",40,",",0,",22,35,8,40,650,900,530,2430,60,130",,,,,,,,,,,,,,,,,,,
"526,",10001000141,",",Sesbania grandiflora,",",Sesbania grandiflora,",",medium (50-150 cm),",",100,",",0,",",100,",",0,",",100,",",0,",24,34,16,40,1000,3000,800,4500,270,365",,,,,,,,,,,,,,,,,,,
